,step1,step2,prediction,gold
159,14,12,no,yes
160,2,0,yes,yes
161,3,1,no,yes
162,2,4,no,no
163,5,3,yes,yes
164,6,4,yes,yes
165,5,7,yes,no
166,8,6,yes,yes
167,9,7,yes,yes
168,8,10,yes,no
169,11,9,yes,yes
170,12,10,yes,yes
171,11,13,yes,no
172,14,12,yes,yes
173,13,15,no,no
174,16,14,no,yes
175,17,15,yes,yes
176,0,2,no,no
177,1,3,yes,no
178,4,2,no,yes
179,5,3,yes,yes
180,6,4,yes,yes
181,7,5,yes,yes
182,8,6,no,yes
183,7,9,yes,no
184,10,8,yes,yes
185,11,9,no,yes
186,10,12,yes,no
187,13,11,yes,yes
188,14,12,yes,yes
189,15,13,yes,yes
190,14,16,no,no
191,15,17,yes,no
192,2,0,yes,yes
193,3,1,yes,yes
194,2,4,yes,no
195,5,3,no,yes
196,4,6,yes,no
197,5,7,yes,no
198,8,6,yes,yes
199,9,7,yes,yes
200,8,10,yes,no
201,9,11,yes,no
202,12,10,no,yes
203,13,11,no,yes
204,14,12,yes,yes
205,15,13,yes,yes
206,16,14,yes,yes
207,17,15,no,yes
208,0,2,yes,no
209,3,1,yes,yes
210,2,4,no,no
211,3,5,yes,no
212,6,4,yes,yes
213,7,5,yes,yes
214,8,6,yes,yes
215,9,7,yes,yes
216,10,8,yes,yes
217,9,11,yes,no
218,10,12,yes,no
219,11,13,no,no
220,14,12,yes,yes
221,15,13,yes,yes
222,14,16,no,no
223,15,17,yes,no
224,18,16,yes,yes
225,17,19,yes,no
226,18,20,yes,no
227,19,21,no,no
228,20,22,yes,no
229,23,21,no,yes
230,2,0,yes,yes
231,3,1,yes,yes
232,2,4,yes,no
233,5,3,yes,yes
234,6,4,yes,yes
235,7,5,no,yes
236,6,8,yes,no
237,9,7,no,yes
238,8,10,yes,no
239,9,11,no,no
240,12,10,yes,yes
241,11,13,no,no
242,12,14,no,no
243,15,13,yes,yes
244,16,14,no,yes
245,15,17,no,no
246,0,2,yes,no
247,1,3,yes,no
248,2,4,no,no
249,3,5,no,no
250,6,4,yes,yes
251,7,5,yes,yes
252,6,8,no,no
253,9,7,yes,yes
254,8,10,yes,no
255,11,9,yes,yes
256,0,2,yes,no
257,3,1,yes,yes
258,4,2,no,yes
259,3,5,yes,no
260,4,6,no,no
261,7,5,yes,yes
262,6,8,yes,no
263,7,9,yes,no
264,10,8,yes,yes
265,11,9,yes,yes
266,12,10,yes,yes
267,11,13,no,no
268,12,14,no,no
269,15,13,yes,yes
270,14,16,no,no
271,17,15,yes,yes
272,2,0,yes,yes
273,3,1,no,yes
274,2,4,yes,no
275,5,3,no,yes
276,4,6,no,no
277,5,7,no,no
278,8,6,yes,yes
279,9,7,no,yes
280,10,8,no,yes
281,9,11,no,no
282,10,12,no,no
283,11,13,no,no
284,12,14,yes,no
285,13,15,yes,no
286,14,16,yes,no
287,15,17,yes,no
288,18,16,yes,yes
289,17,19,yes,no
290,20,18,yes,yes
291,21,19,yes,yes
292,22,20,yes,yes
293,23,21,yes,yes
294,24,22,yes,yes
295,25,23,no,yes
296,26,24,yes,yes
297,0,2,yes,no
298,3,1,yes,yes
299,2,4,yes,no
300,5,3,yes,yes
301,6,4,no,yes
302,5,7,yes,no
303,6,8,yes,no
304,7,9,no,no
305,10,8,no,yes
306,9,11,yes,no
307,12,10,yes,yes
308,13,11,yes,yes
309,14,12,yes,yes
310,15,13,yes,yes
311,14,16,yes,no
312,17,15,yes,yes
313,16,18,yes,no
314,17,19,yes,no
315,20,18,yes,yes
316,19,21,no,no
317,20,22,no,no
318,23,21,no,yes
319,2,0,yes,yes
320,1,3,yes,no
321,4,2,yes,yes
322,5,3,yes,yes
323,6,4,no,yes
324,7,5,yes,yes
325,8,6,yes,yes
326,9,7,yes,yes
327,10,8,no,yes
328,9,11,yes,no
329,12,10,yes,yes
330,11,13,yes,no
331,12,14,yes,no
332,2,0,yes,yes
333,3,1,no,yes
334,2,4,yes,no
335,3,5,no,no
336,6,4,no,yes
337,5,7,no,no
338,6,8,no,no
339,9,7,yes,yes
340,10,8,no,yes
341,11,9,yes,yes
342,12,10,yes,yes
343,13,11,yes,yes
344,12,14,yes,no
345,15,13,no,yes
346,16,14,yes,yes
347,17,15,yes,yes
348,18,16,no,yes
349,17,19,yes,no
350,20,18,no,yes
351,19,21,yes,no
352,20,22,yes,no
353,21,23,yes,no
354,22,24,yes,no
355,25,23,yes,yes
356,24,26,yes,no
357,27,25,yes,yes
358,28,26,no,yes
359,27,29,yes,no
360,30,28,yes,yes
361,29,31,yes,no
362,30,32,no,no
363,2,0,no,yes
364,1,3,yes,no
365,2,4,no,no
366,3,5,no,no
367,6,4,no,yes
368,7,5,yes,yes
369,8,6,yes,yes
370,9,7,no,yes
371,10,8,no,yes
372,11,9,yes,yes
373,10,12,yes,no
374,13,11,no,yes
375,14,12,yes,yes
376,13,15,no,no
377,16,14,no,yes
378,17,15,no,yes
379,18,16,yes,yes
380,17,19,no,no
381,18,20,yes,no
382,19,21,yes,no
383,22,20,no,yes
384,23,21,yes,yes
385,24,22,yes,yes
386,25,23,yes,yes
387,26,24,yes,yes
388,2,0,yes,yes
389,3,1,yes,yes
390,4,2,no,yes
391,5,3,yes,yes
392,6,4,yes,yes
393,5,7,no,no
394,8,6,yes,yes
395,0,2,yes,no
396,1,3,yes,no
397,4,2,yes,yes
398,3,5,no,no
399,4,6,yes,no
400,5,7,yes,no
401,8,6,no,yes
402,7,9,no,no
403,10,8,yes,yes
404,11,9,yes,yes
405,10,12,yes,no
406,13,11,yes,yes
407,12,14,no,no
408,13,15,yes,no
409,14,16,yes,no
410,15,17,yes,no
411,2,0,no,yes
412,3,1,no,yes
413,4,2,no,yes
414,3,5,no,no
415,6,4,yes,yes
416,7,5,no,yes
417,8,6,yes,yes
418,7,9,no,no
419,10,8,yes,yes
420,9,11,no,no
421,10,12,yes,no
422,11,13,yes,no
423,12,14,yes,no
424,15,13,yes,yes
425,16,14,no,yes
426,15,17,yes,no
427,16,18,yes,no
428,19,17,yes,yes
429,18,20,no,no
430,21,19,yes,yes
431,22,20,no,yes
432,21,23,no,no
433,24,22,no,yes
434,25,23,yes,yes
435,26,24,yes,yes
436,27,25,yes,yes
437,28,26,no,yes
438,27,29,no,no
439,28,30,no,no
440,31,29,yes,yes
441,30,32,yes,no
442,33,31,no,yes
443,32,34,yes,no
444,33,35,no,no
445,36,34,yes,yes
446,35,37,no,no
447,38,36,yes,yes
448,0,2,yes,no
449,3,1,no,yes
450,2,4,no,no
451,3,5,yes,no
452,4,6,yes,no
453,5,7,no,no
454,8,6,yes,yes
455,9,7,yes,yes
456,8,10,yes,no
457,11,9,yes,yes
458,10,12,yes,no
459,11,13,yes,no
460,12,14,no,no
461,13,15,yes,no
462,16,14,no,yes
463,17,15,no,yes
464,16,18,no,no
465,17,19,yes,no
466,20,18,no,yes
467,21,19,no,yes
468,22,20,no,yes
469,23,21,no,yes
470,2,0,yes,yes
471,1,3,no,no
472,4,2,yes,yes
473,5,3,no,yes
474,6,4,yes,yes
475,5,7,yes,no
476,6,8,yes,no
477,9,7,yes,yes
478,8,10,yes,no
479,11,9,no,yes
480,10,12,yes,no
481,13,11,no,yes
482,14,12,no,yes
483,0,2,yes,no
484,1,3,yes,no
485,4,2,yes,yes
486,5,3,yes,yes
487,4,6,no,no
488,7,5,yes,yes
489,6,8,yes,no
490,7,9,yes,no
491,8,10,no,no
492,11,9,no,yes
493,10,12,yes,no
494,11,13,yes,no
495,12,14,yes,no
496,15,13,yes,yes
497,14,16,yes,no
498,15,17,yes,no
499,18,16,yes,yes
500,17,19,no,no
501,20,18,yes,yes
502,19,21,yes,no
503,22,20,yes,yes
504,21,23,yes,no
505,22,24,yes,no
506,25,23,yes,yes
507,26,24,yes,yes
508,25,27,yes,no
509,28,26,yes,yes
510,27,29,yes,no
511,28,30,yes,no
512,31,29,no,yes
513,30,32,yes,no
514,33,31,yes,yes
515,32,34,yes,no
516,35,33,yes,yes
517,2,0,yes,yes
518,1,3,yes,no
519,4,2,yes,yes
520,3,5,yes,no
521,6,4,yes,yes
522,7,5,yes,yes
523,6,8,yes,no
524,9,7,yes,yes
525,10,8,no,yes
526,9,11,yes,no
527,10,12,no,no
528,11,13,yes,no
529,14,12,yes,yes
530,15,13,no,yes
531,14,16,yes,no
532,17,15,yes,yes
533,16,18,no,no
534,19,17,no,yes
535,20,18,yes,yes
536,2,0,yes,yes
537,1,3,no,no
538,2,4,yes,no
539,5,3,yes,yes
540,6,4,yes,yes
541,5,7,yes,no
542,8,6,no,yes
543,9,7,yes,yes
544,8,10,yes,no
545,11,9,no,yes
546,0,2,yes,no
547,3,1,yes,yes
548,2,4,yes,no
549,3,5,yes,no
550,6,4,yes,yes
551,5,7,yes,no
552,8,6,yes,yes
553,7,9,no,no
554,8,10,yes,no
555,11,9,yes,yes
556,12,10,yes,yes
557,13,11,yes,yes
558,12,14,yes,no
559,13,15,yes,no
560,16,14,yes,yes
561,15,17,yes,no
562,18,16,yes,yes
563,17,19,yes,no
564,18,20,yes,no
565,19,21,no,no
566,22,20,yes,yes
567,21,23,yes,no
568,22,24,yes,no
569,25,23,yes,yes
570,26,24,no,yes
571,27,25,yes,yes
572,26,28,yes,no
573,29,27,yes,yes
574,30,28,yes,yes
575,29,31,yes,no
576,30,32,no,no
577,0,2,yes,no
578,1,3,no,no
579,4,2,yes,yes
580,3,5,yes,no
581,4,6,no,no
582,5,7,yes,no
583,6,8,yes,no
584,9,7,yes,yes
585,10,8,yes,yes
586,11,9,yes,yes
587,10,12,yes,no
588,13,11,yes,yes
589,14,12,no,yes
590,13,15,yes,no
591,14,16,yes,no
592,15,17,no,no
593,18,16,yes,yes
594,19,17,yes,yes
595,20,18,no,yes
596,21,19,no,yes
597,22,20,yes,yes
598,21,23,yes,no
599,22,24,no,no
600,23,25,no,no
601,24,26,no,no
602,27,25,yes,yes
603,28,26,yes,yes
604,27,29,yes,no
605,28,30,no,no
606,29,31,yes,no
607,32,30,no,yes
