,step1,step2,prediction,gold
425,8,7,yes,yes
426,8,9,no,no
427,9,10,yes,no
428,11,10,yes,yes
429,11,12,yes,no
430,13,12,yes,yes
431,14,13,yes,yes
432,14,15,yes,no
433,16,15,no,yes
434,17,16,yes,yes
435,1,0,yes,yes
436,2,1,yes,yes
437,3,2,yes,yes
438,3,4,yes,no
439,4,5,no,no
440,6,5,yes,yes
441,6,7,no,no
442,8,7,yes,yes
443,8,9,yes,no
444,9,10,yes,no
445,11,10,yes,yes
446,11,12,yes,no
447,13,12,yes,yes
448,13,14,no,no
449,15,14,no,yes
450,15,16,yes,no
451,16,17,yes,no
452,17,18,yes,no
453,18,19,yes,no
454,20,19,no,yes
455,21,20,no,yes
456,21,22,yes,no
457,23,22,no,yes
458,23,24,yes,no
459,24,25,no,no
460,25,26,no,no
461,26,27,no,no
462,28,27,no,yes
463,29,28,no,yes
464,29,30,yes,no
465,30,31,yes,no
466,32,31,yes,yes
467,33,32,no,yes
468,34,33,yes,yes
469,35,34,no,yes
470,36,35,no,yes
471,36,37,yes,no
472,38,37,yes,yes
473,1,0,yes,yes
474,2,1,no,yes
475,2,3,no,no
476,3,4,no,no
477,5,4,no,yes
478,5,6,no,no
479,7,6,yes,yes
480,7,8,yes,no
481,9,8,yes,yes
482,10,9,no,yes
483,10,11,yes,no
484,11,12,yes,no
485,13,12,yes,yes
486,14,13,yes,yes
487,14,15,yes,no
488,16,15,no,yes
489,16,17,yes,no
490,17,18,no,no
491,18,19,no,no
492,20,19,no,yes
493,20,21,no,no
494,21,22,yes,no
495,22,23,yes,no
496,1,0,yes,yes
497,1,2,yes,no
498,2,3,no,no
499,4,3,yes,yes
500,4,5,yes,no
501,6,5,yes,yes
502,6,7,yes,no
503,8,7,yes,yes
504,8,9,yes,no
505,9,10,yes,no
506,11,10,yes,yes
507,12,11,no,yes
508,12,13,yes,no
509,14,13,yes,yes
510,0,1,yes,no
511,1,2,yes,no
512,3,2,yes,yes
513,3,4,yes,no
514,5,4,yes,yes
515,5,6,no,no
516,7,6,no,yes
517,8,7,yes,yes
518,8,9,no,no
519,10,9,yes,yes
520,10,11,yes,no
521,12,11,yes,yes
522,13,12,no,yes
523,13,14,yes,no
524,15,14,yes,yes
525,16,15,yes,yes
526,16,17,yes,no
527,17,18,yes,no
528,18,19,yes,no
529,20,19,yes,yes
530,21,20,yes,yes
531,21,22,yes,no
532,23,22,yes,yes
533,23,24,yes,no
534,25,24,yes,yes
535,26,25,yes,yes
536,27,26,yes,yes
537,27,28,yes,no
538,28,29,yes,no
539,30,29,no,yes
540,31,30,yes,yes
541,31,32,yes,no
542,33,32,yes,yes
543,34,33,yes,yes
544,34,35,yes,no
545,1,0,yes,yes
546,1,2,yes,no
547,3,2,yes,yes
548,3,4,yes,no
549,4,5,yes,no
550,6,5,yes,yes
551,6,7,yes,no
552,8,7,yes,yes
553,8,9,yes,no
554,9,10,yes,no
555,11,10,yes,yes
556,12,11,no,yes
557,13,12,yes,yes
558,13,14,no,no
559,14,15,yes,no
560,16,15,yes,yes
561,16,17,yes,no
562,18,17,yes,yes
563,18,19,yes,no
564,19,20,no,no
565,0,1,yes,no
566,2,1,yes,yes
567,2,3,yes,no
568,3,4,yes,no
569,5,4,yes,yes
570,6,5,no,yes
571,7,6,no,yes
572,7,8,yes,no
573,9,8,yes,yes
574,10,9,no,yes
575,10,11,yes,no
576,0,1,yes,no
577,1,2,yes,no
578,2,3,yes,no
579,4,3,no,yes
580,4,5,yes,no
581,5,6,yes,no
582,6,7,yes,no
583,7,8,yes,no
584,9,8,yes,yes
585,10,9,yes,yes
586,11,10,yes,yes
587,11,12,yes,no
588,13,12,yes,yes
589,14,13,yes,yes
590,14,15,yes,no
591,15,16,yes,no
592,16,17,yes,no
593,18,17,yes,yes
594,19,18,no,yes
595,20,19,yes,yes
596,21,20,yes,yes
597,22,21,yes,yes
598,22,23,yes,no
599,23,24,yes,no
600,24,25,yes,no
601,25,26,yes,no
602,27,26,yes,yes
603,28,27,yes,yes
604,28,29,yes,no
605,29,30,yes,no
606,30,31,no,no
607,32,31,yes,yes
608,0,1,yes,no
609,1,2,yes,no
610,3,2,yes,yes
611,4,3,yes,yes
612,4,5,no,no
613,6,5,yes,yes
614,7,6,no,yes
615,7,8,yes,no
616,9,8,yes,yes
617,10,9,yes,yes
618,10,11,yes,no
619,11,12,yes,no
620,12,13,yes,no
621,14,13,yes,yes
622,14,15,yes,no
623,16,15,yes,yes
624,17,16,no,yes
625,17,18,no,no
626,19,18,yes,yes
627,20,19,no,yes
628,21,20,yes,yes
629,22,21,yes,yes
630,23,22,no,yes
631,24,23,yes,yes
632,24,25,yes,no
633,26,25,yes,yes
634,26,27,no,no
635,28,27,no,yes
636,29,28,no,yes
637,29,30,no,no
638,31,30,no,yes
639,31,32,yes,no
