,step1,step2,prediction,gold
258,15,14,yes,no
259,15,16,yes,yes
260,16,17,yes,yes
261,1,0,yes,no
262,1,2,yes,yes
263,2,3,yes,yes
264,4,3,yes,no
265,5,4,yes,no
266,6,5,yes,no
267,6,7,yes,yes
268,7,8,yes,yes
269,9,8,no,no
270,9,10,yes,yes
271,11,10,yes,no
272,1,0,yes,no
273,2,1,yes,no
274,2,3,yes,yes
275,4,3,yes,no
276,4,5,yes,yes
277,5,6,yes,yes
278,7,6,yes,no
279,8,7,yes,no
280,9,8,yes,no
281,9,10,yes,yes
282,10,11,yes,yes
283,11,12,yes,yes
284,12,13,yes,yes
285,13,14,yes,yes
286,14,15,yes,yes
287,15,16,yes,yes
288,17,16,yes,no
289,0,1,yes,yes
290,2,1,yes,no
291,3,2,yes,no
292,4,3,yes,no
293,5,4,yes,no
294,6,5,yes,no
295,7,6,yes,no
296,8,7,yes,no
297,8,9,yes,yes
298,10,9,yes,no
299,10,11,yes,yes
300,12,11,yes,no
301,13,12,yes,no
302,13,14,yes,yes
303,14,15,yes,yes
304,15,16,yes,yes
305,17,16,yes,no
306,17,18,yes,yes
307,19,18,yes,no
308,20,19,yes,no
309,21,20,yes,no
310,22,21,yes,no
311,22,23,yes,yes
312,24,23,yes,no
313,24,25,yes,yes
314,25,26,yes,yes
315,1,0,yes,no
316,1,2,yes,yes
317,2,3,yes,yes
318,4,3,yes,no
319,5,4,yes,no
320,5,6,yes,yes
321,7,6,yes,no
322,8,7,yes,no
323,9,8,yes,no
324,10,9,yes,no
325,11,10,yes,no
326,12,11,yes,no
327,13,12,yes,no
328,13,14,yes,yes
329,15,14,yes,no
330,15,16,yes,yes
331,16,17,yes,yes
332,18,17,yes,no
333,19,18,yes,no
334,19,20,yes,yes
335,20,21,yes,yes
336,22,21,yes,no
337,22,23,yes,yes
338,0,1,yes,yes
339,2,1,yes,no
340,3,2,yes,no
341,4,3,yes,no
342,5,4,yes,no
343,6,5,yes,no
344,6,7,yes,yes
345,8,7,yes,no
346,9,8,yes,no
347,10,9,yes,no
348,11,10,yes,no
349,11,12,yes,yes
350,13,12,yes,no
351,13,14,yes,yes
352,0,1,yes,yes
353,1,2,yes,yes
354,2,3,yes,yes
355,4,3,yes,no
356,4,5,yes,yes
357,6,5,yes,no
358,7,6,yes,no
359,7,8,yes,yes
360,9,8,yes,no
361,9,10,yes,yes
362,10,11,yes,yes
363,12,11,yes,no
364,12,13,yes,yes
365,13,14,yes,yes
366,14,15,yes,yes
367,16,15,yes,no
368,17,16,yes,no
369,18,17,yes,no
370,19,18,yes,no
371,20,19,yes,no
372,21,20,yes,no
373,21,22,yes,yes
374,23,22,yes,no
375,24,23,yes,no
376,24,25,yes,yes
377,26,25,yes,no
378,27,26,yes,no
379,28,27,yes,no
380,28,29,yes,yes
381,29,30,yes,yes
382,30,31,yes,yes
383,32,31,yes,no
384,1,0,yes,no
385,2,1,yes,no
386,3,2,yes,no
387,4,3,yes,no
388,5,4,yes,no
389,6,5,yes,no
390,7,6,yes,no
391,8,7,yes,no
392,9,8,yes,no
393,9,10,yes,yes
394,11,10,yes,no
395,11,12,yes,yes
396,12,13,yes,yes
397,14,13,yes,no
398,14,15,yes,yes
399,15,16,yes,yes
400,16,17,yes,yes
401,18,17,yes,no
402,18,19,yes,yes
403,20,19,yes,no
404,21,20,yes,no
405,21,22,yes,yes
406,23,22,yes,no
407,23,24,yes,yes
408,24,25,yes,yes
409,25,26,yes,yes
410,0,1,yes,yes
411,2,1,yes,no
412,3,2,yes,no
413,4,3,yes,no
414,4,5,yes,yes
415,6,5,yes,no
416,7,6,yes,no
417,8,7,yes,no
418,0,1,yes,yes
419,2,1,yes,no
420,2,3,yes,yes
421,3,4,yes,yes
422,4,5,yes,yes
423,5,6,yes,yes
424,7,6,yes,no
425,8,7,yes,no
426,8,9,yes,yes
427,9,10,yes,yes
428,11,10,yes,no
429,11,12,yes,yes
430,13,12,yes,no
431,14,13,yes,no
432,14,15,yes,yes
433,16,15,yes,no
434,17,16,yes,no
435,1,0,yes,no
436,2,1,yes,no
437,3,2,yes,no
438,3,4,yes,yes
439,4,5,yes,yes
440,6,5,yes,no
441,6,7,yes,yes
442,8,7,yes,no
443,8,9,yes,yes
444,9,10,yes,yes
445,11,10,yes,no
446,11,12,yes,yes
447,13,12,yes,no
448,13,14,yes,yes
449,15,14,yes,no
450,15,16,yes,yes
451,16,17,yes,yes
452,17,18,yes,yes
453,18,19,yes,yes
454,20,19,yes,no
455,21,20,yes,no
456,21,22,yes,yes
457,23,22,yes,no
458,23,24,yes,yes
459,24,25,yes,yes
460,25,26,yes,yes
461,26,27,yes,yes
462,28,27,yes,no
463,29,28,yes,no
464,29,30,yes,yes
465,30,31,yes,yes
466,32,31,yes,no
467,33,32,yes,no
468,34,33,yes,no
469,35,34,yes,no
470,36,35,no,no
471,36,37,yes,yes
472,38,37,yes,no
473,1,0,yes,no
474,2,1,yes,no
475,2,3,yes,yes
476,3,4,yes,yes
477,5,4,yes,no
478,5,6,yes,yes
479,7,6,yes,no
480,7,8,yes,yes
481,9,8,yes,no
482,10,9,yes,no
483,10,11,yes,yes
484,11,12,yes,yes
485,13,12,yes,no
486,14,13,yes,no
487,14,15,yes,yes
488,16,15,yes,no
489,16,17,yes,yes
490,17,18,yes,yes
491,18,19,yes,yes
492,20,19,yes,no
493,20,21,yes,yes
494,21,22,yes,yes
495,22,23,yes,yes
496,1,0,yes,no
497,1,2,yes,yes
498,2,3,yes,yes
499,4,3,no,no
500,4,5,yes,yes
501,6,5,yes,no
502,6,7,yes,yes
503,8,7,yes,no
504,8,9,yes,yes
505,9,10,yes,yes
506,11,10,yes,no
507,12,11,yes,no
508,12,13,yes,yes
509,14,13,no,no
510,0,1,yes,yes
511,1,2,yes,yes
512,3,2,yes,no
513,3,4,yes,yes
514,5,4,yes,no
515,5,6,yes,yes
516,7,6,yes,no
517,8,7,yes,no
518,8,9,yes,yes
519,10,9,yes,no
520,10,11,yes,yes
521,12,11,yes,no
522,13,12,yes,no
523,13,14,yes,yes
524,15,14,yes,no
525,16,15,yes,no
526,16,17,yes,yes
527,17,18,yes,yes
528,18,19,yes,yes
529,20,19,yes,no
530,21,20,yes,no
531,21,22,yes,yes
532,23,22,yes,no
533,23,24,yes,yes
534,25,24,yes,no
535,26,25,yes,no
536,27,26,yes,no
537,27,28,yes,yes
538,28,29,yes,yes
539,30,29,yes,no
540,31,30,no,no
541,31,32,yes,yes
542,33,32,yes,no
543,34,33,yes,no
544,34,35,yes,yes
545,1,0,yes,no
546,1,2,yes,yes
547,3,2,yes,no
548,3,4,yes,yes
549,4,5,yes,yes
550,6,5,yes,no
551,6,7,yes,yes
552,8,7,yes,no
553,8,9,yes,yes
554,9,10,yes,yes
555,11,10,yes,no
556,12,11,yes,no
557,13,12,yes,no
558,13,14,yes,yes
559,14,15,yes,yes
560,16,15,yes,no
561,16,17,yes,yes
562,18,17,yes,no
563,18,19,yes,yes
564,19,20,yes,yes
565,0,1,yes,yes
566,2,1,yes,no
567,2,3,yes,yes
568,3,4,yes,yes
569,5,4,yes,no
570,6,5,yes,no
571,7,6,yes,no
572,7,8,yes,yes
573,9,8,yes,no
574,10,9,yes,no
575,10,11,yes,yes
576,0,1,yes,yes
577,1,2,yes,yes
578,2,3,yes,yes
579,4,3,yes,no
580,4,5,yes,yes
581,5,6,yes,yes
582,6,7,yes,yes
583,7,8,yes,yes
584,9,8,yes,no
585,10,9,yes,no
586,11,10,yes,no
587,11,12,yes,yes
588,13,12,yes,no
589,14,13,yes,no
590,14,15,yes,yes
591,15,16,yes,yes
592,16,17,yes,yes
593,18,17,yes,no
594,19,18,yes,no
595,20,19,yes,no
596,21,20,yes,no
597,22,21,yes,no
598,22,23,yes,yes
599,23,24,yes,yes
600,24,25,yes,yes
601,25,26,yes,yes
602,27,26,yes,no
603,28,27,yes,no
604,28,29,yes,yes
605,29,30,yes,yes
606,30,31,yes,yes
607,32,31,yes,no
608,0,1,yes,yes
609,1,2,yes,yes
610,3,2,yes,no
611,4,3,yes,no
612,4,5,yes,yes
613,6,5,yes,no
614,7,6,yes,no
615,7,8,yes,yes
616,9,8,yes,no
617,10,9,yes,no
618,10,11,yes,yes
619,11,12,yes,yes
620,12,13,yes,yes
621,14,13,yes,no
622,14,15,yes,yes
623,16,15,yes,no
624,17,16,yes,no
625,17,18,yes,yes
626,19,18,yes,no
627,20,19,yes,no
628,21,20,yes,no
629,22,21,yes,no
630,23,22,yes,no
631,24,23,yes,no
632,24,25,yes,yes
633,26,25,yes,no
634,26,27,yes,yes
635,28,27,yes,no
636,29,28,yes,no
637,29,30,yes,yes
638,31,30,yes,no
639,31,32,yes,yes
