,step1,step2,prediction,gold
205,9,4,no,no
206,10,5,no,no
207,11,6,yes,no
208,0,5,yes,yes
209,6,1,yes,no
210,2,7,yes,yes
211,3,8,yes,yes
212,9,4,no,no
213,10,5,yes,no
214,11,6,no,no
215,12,7,yes,no
216,13,8,yes,no
217,9,14,yes,yes
218,10,15,yes,yes
219,11,16,yes,yes
220,17,12,yes,no
221,5,0,yes,no
222,1,6,yes,yes
223,2,7,yes,yes
224,8,3,no,no
225,4,9,yes,yes
226,5,10,yes,yes
227,6,11,no,yes
228,7,12,yes,yes
229,13,8,yes,no
230,14,9,no,no
231,15,10,yes,no
232,11,16,yes,yes
233,17,12,yes,no
234,18,13,yes,no
235,19,14,yes,no
236,15,20,yes,yes
237,21,16,yes,no
238,17,22,yes,yes
239,18,23,no,yes
240,24,19,yes,no
241,20,25,yes,yes
242,21,26,yes,yes
243,5,0,yes,no
244,6,1,yes,no
245,2,7,yes,yes
246,3,8,yes,yes
247,4,9,yes,yes
248,5,10,yes,yes
249,6,11,yes,yes
250,12,7,yes,no
251,13,8,yes,no
252,9,14,yes,yes
253,15,10,yes,no
254,11,16,yes,yes
255,17,12,yes,no
256,13,18,yes,yes
257,19,14,yes,no
258,20,15,yes,no
259,16,21,yes,yes
260,17,22,yes,yes
261,23,18,no,no
262,0,5,yes,yes
263,1,6,yes,yes
264,7,2,yes,no
265,8,3,yes,no
266,9,4,no,no
267,5,10,yes,yes
268,6,11,yes,yes
269,12,7,no,no
270,8,13,yes,yes
271,14,9,no,no
272,5,0,yes,no
273,6,1,yes,no
274,2,7,yes,yes
275,8,3,yes,no
276,4,9,yes,yes
277,5,10,yes,yes
278,11,6,yes,no
279,12,7,no,no
280,13,8,yes,no
281,9,14,yes,yes
282,10,15,yes,yes
283,11,16,yes,yes
284,12,17,yes,yes
285,13,18,yes,yes
286,14,19,yes,yes
287,15,20,yes,yes
288,21,16,yes,no
289,17,22,yes,yes
290,23,18,yes,no
291,24,19,yes,no
292,25,20,yes,no
293,26,21,yes,no
294,27,22,yes,no
295,28,23,yes,no
296,29,24,no,no
297,25,30,yes,yes
298,31,26,no,no
299,27,32,yes,yes
300,5,0,yes,no
301,6,1,yes,no
302,2,7,yes,yes
303,3,8,yes,yes
304,4,9,yes,yes
305,10,5,yes,no
306,6,11,yes,yes
307,12,7,yes,no
308,13,8,yes,no
309,14,9,no,no
310,15,10,yes,no
311,11,16,yes,yes
312,17,12,no,no
313,13,18,yes,yes
314,14,19,yes,yes
315,20,15,yes,no
316,16,21,yes,yes
317,17,22,yes,yes
318,23,18,yes,no
319,24,19,yes,no
320,20,25,yes,yes
321,26,21,yes,no
322,5,0,yes,no
323,6,1,yes,no
324,7,2,yes,no
325,8,3,no,no
326,5,0,yes,no
327,6,1,yes,no
328,2,7,yes,yes
329,8,3,yes,no
330,4,9,yes,yes
331,5,10,yes,yes
332,11,6,yes,no
333,12,7,yes,no
334,8,13,yes,yes
335,9,14,yes,yes
336,15,10,yes,no
337,11,16,yes,yes
338,12,17,yes,yes
339,5,0,no,no
340,6,1,yes,no
341,7,2,yes,no
342,8,3,no,no
343,9,4,no,no
344,5,10,yes,yes
345,11,6,yes,no
346,12,7,yes,no
347,13,8,yes,no
348,14,9,yes,no
349,10,15,yes,yes
350,16,11,yes,no
351,12,17,yes,yes
352,13,18,yes,yes
353,14,19,yes,yes
354,15,20,yes,yes
355,21,16,yes,no
356,17,22,yes,yes
357,23,18,yes,no
358,24,19,yes,no
359,20,25,yes,yes
360,26,21,yes,no
361,22,27,yes,yes
362,23,28,yes,yes
363,29,24,no,no
364,25,30,yes,yes
365,26,31,yes,yes
366,27,32,yes,yes
367,33,28,yes,no
368,34,29,yes,no
369,35,30,yes,no
370,36,31,yes,no
371,37,32,yes,no
372,38,33,no,no
373,0,5,yes,yes
374,6,1,yes,no
375,7,2,yes,no
376,3,8,yes,yes
377,9,4,yes,no
378,10,5,yes,no
379,11,6,yes,no
380,7,12,yes,yes
381,8,13,yes,yes
382,9,14,yes,yes
383,15,10,yes,no
384,16,11,yes,no
385,17,12,yes,no
386,18,13,yes,no
387,19,14,yes,no
388,20,15,yes,no
389,21,16,yes,no
390,22,17,yes,no
391,23,18,yes,no
392,5,0,no,no
393,1,6,yes,yes
394,7,2,yes,no
395,3,8,yes,yes
396,4,9,yes,yes
397,10,5,yes,no
398,6,11,yes,yes
399,7,12,yes,yes
400,8,13,yes,yes
401,14,9,yes,no
402,0,5,yes,yes
403,6,1,yes,no
404,7,2,yes,no
405,3,8,yes,yes
406,9,4,yes,no
407,5,10,no,yes
408,6,11,yes,yes
409,7,12,yes,yes
410,8,13,yes,yes
411,14,9,yes,no
412,15,10,yes,no
413,16,11,no,no
414,12,17,yes,yes
415,18,13,yes,no
416,19,14,yes,no
417,20,15,yes,no
418,16,21,yes,yes
419,22,17,yes,no
420,18,23,yes,yes
421,19,24,yes,yes
422,20,25,yes,yes
423,21,26,yes,yes
424,27,22,yes,no
425,28,23,yes,no
426,24,29,yes,yes
427,25,30,no,yes
428,31,26,yes,no
429,27,32,yes,yes
430,33,28,yes,no
431,34,29,yes,no
432,30,35,yes,yes
433,5,0,no,no
434,6,1,yes,no
435,7,2,yes,no
436,8,3,no,no
437,9,4,no,no
438,5,10,yes,yes
439,6,11,yes,yes
440,12,7,yes,no
441,8,13,yes,yes
442,14,9,yes,no
443,10,15,yes,yes
444,11,16,yes,yes
445,17,12,yes,no
446,13,18,yes,yes
447,19,14,no,no
448,15,20,yes,yes
449,5,0,yes,no
450,1,6,yes,yes
451,2,7,yes,yes
452,3,8,yes,yes
453,4,9,yes,yes
454,10,5,yes,no
455,11,6,no,no
456,0,5,yes,yes
457,6,1,yes,no
458,2,7,yes,yes
459,3,8,yes,yes
460,4,9,yes,yes
461,5,10,no,yes
462,11,6,yes,no
463,12,7,no,no
464,8,13,yes,yes
465,9,14,yes,yes
466,15,10,no,no
467,16,11,yes,no
468,17,12,no,no
469,18,13,yes,no
470,19,14,yes,no
471,15,20,yes,yes
472,21,16,yes,no
473,22,17,yes,no
474,23,18,yes,no
475,19,24,yes,yes
476,20,25,yes,yes
477,26,21,yes,no
478,22,27,yes,yes
479,28,23,yes,no
480,24,29,yes,yes
481,30,25,yes,no
482,31,26,no,no
483,27,32,yes,yes
484,0,5,yes,yes
485,6,1,no,no
486,7,2,yes,no
487,3,8,yes,yes
488,9,4,yes,no
489,5,10,yes,yes
490,6,11,yes,yes
491,7,12,no,yes
492,13,8,yes,no
493,9,14,yes,yes
494,10,15,no,yes
495,11,16,yes,yes
496,17,12,yes,no
497,13,18,yes,yes
498,14,19,yes,yes
499,20,15,yes,no
500,16,21,yes,yes
501,22,17,yes,no
502,18,23,yes,yes
503,24,19,yes,no
504,20,25,yes,yes
505,21,26,yes,yes
506,27,22,yes,no
507,28,23,no,no
508,24,29,yes,yes
509,30,25,no,no
510,26,31,yes,yes
511,27,32,yes,yes
