,step1,step2,prediction,gold
380,7,12,yes,no
381,8,13,no,no
382,9,14,no,no
383,15,10,yes,yes
384,16,11,yes,yes
385,17,12,yes,yes
386,18,13,yes,yes
387,19,14,yes,yes
388,20,15,no,yes
389,21,16,yes,yes
390,22,17,yes,yes
391,23,18,no,yes
392,5,0,yes,yes
393,1,6,no,no
394,7,2,yes,yes
395,3,8,no,no
396,4,9,no,no
397,10,5,yes,yes
398,6,11,yes,no
399,7,12,yes,no
400,8,13,yes,no
401,14,9,no,yes
402,0,5,yes,no
403,6,1,yes,yes
404,7,2,yes,yes
405,3,8,no,no
406,9,4,yes,yes
407,5,10,yes,no
408,6,11,yes,no
409,7,12,yes,no
410,8,13,yes,no
411,14,9,yes,yes
412,15,10,no,yes
413,16,11,yes,yes
414,12,17,no,no
415,18,13,yes,yes
416,19,14,yes,yes
417,20,15,yes,yes
418,16,21,yes,no
419,22,17,yes,yes
420,18,23,no,no
421,19,24,no,no
422,20,25,yes,no
423,21,26,yes,no
424,27,22,yes,yes
425,28,23,yes,yes
426,24,29,yes,no
427,25,30,yes,no
428,31,26,no,yes
429,27,32,yes,no
430,33,28,yes,yes
431,34,29,yes,yes
432,30,35,yes,no
433,5,0,yes,yes
434,6,1,yes,yes
435,7,2,yes,yes
436,8,3,yes,yes
437,9,4,yes,yes
438,5,10,yes,no
439,6,11,yes,no
440,12,7,no,yes
441,8,13,yes,no
442,14,9,no,yes
443,10,15,yes,no
444,11,16,yes,no
445,17,12,yes,yes
446,13,18,no,no
447,19,14,no,yes
448,15,20,no,no
449,5,0,yes,yes
450,1,6,no,no
451,2,7,no,no
452,3,8,yes,no
453,4,9,no,no
454,10,5,no,yes
455,11,6,no,yes
456,0,5,yes,no
457,6,1,yes,yes
458,2,7,no,no
459,3,8,yes,no
460,4,9,no,no
461,5,10,no,no
462,11,6,yes,yes
463,12,7,yes,yes
464,8,13,yes,no
465,9,14,yes,no
466,15,10,yes,yes
467,16,11,yes,yes
468,17,12,yes,yes
469,18,13,yes,yes
470,19,14,no,yes
471,15,20,yes,no
472,21,16,no,yes
473,22,17,yes,yes
474,23,18,yes,yes
475,19,24,no,no
476,20,25,no,no
477,26,21,yes,yes
478,22,27,yes,no
479,28,23,yes,yes
480,24,29,yes,no
481,30,25,no,yes
482,31,26,yes,yes
483,27,32,no,no
484,0,5,yes,no
485,6,1,yes,yes
486,7,2,no,yes
487,3,8,yes,no
488,9,4,yes,yes
489,5,10,no,no
490,6,11,yes,no
491,7,12,no,no
492,13,8,yes,yes
493,9,14,yes,no
494,10,15,yes,no
495,11,16,no,no
496,17,12,no,yes
497,13,18,yes,no
498,14,19,no,no
499,20,15,yes,yes
500,16,21,yes,no
501,22,17,yes,yes
502,18,23,yes,no
503,24,19,no,yes
504,20,25,no,no
505,21,26,yes,no
506,27,22,yes,yes
507,28,23,yes,yes
508,24,29,no,no
509,30,25,yes,yes
510,26,31,yes,no
511,27,32,no,no
