,step1,step2,prediction,gold
258,9,8,yes,no
259,9,10,yes,yes
260,10,11,yes,yes
261,12,11,yes,no
262,12,13,yes,yes
263,13,14,yes,yes
264,1,0,yes,no
265,2,1,yes,no
266,3,2,yes,no
267,3,4,yes,yes
268,4,5,yes,yes
269,6,5,yes,no
270,6,7,yes,yes
271,8,7,yes,no
272,9,8,yes,no
273,10,9,yes,no
274,10,11,yes,yes
275,12,11,yes,no
276,12,13,yes,yes
277,13,14,yes,yes
278,15,14,yes,no
279,16,15,yes,no
280,17,16,yes,no
281,0,1,yes,yes
282,1,2,yes,yes
283,2,3,yes,yes
284,3,4,yes,yes
285,4,5,yes,yes
286,5,6,yes,yes
287,6,7,yes,yes
288,8,7,yes,no
289,8,9,yes,yes
290,10,9,yes,no
291,11,10,no,no
292,12,11,yes,no
293,13,12,yes,no
294,14,13,yes,no
295,1,0,yes,no
296,2,1,yes,no
297,2,3,yes,yes
298,4,3,yes,no
299,4,5,yes,yes
300,6,5,yes,no
301,7,6,yes,no
302,7,8,yes,yes
303,8,9,yes,yes
304,9,10,yes,yes
305,11,10,yes,no
306,11,12,yes,yes
307,13,12,yes,no
308,14,13,yes,no
309,15,14,yes,no
310,16,15,yes,no
311,16,17,yes,yes
312,18,17,yes,no
313,18,19,yes,yes
314,19,20,yes,yes
315,21,20,yes,no
316,21,22,yes,yes
317,22,23,yes,yes
318,1,0,no,no
319,2,1,yes,no
320,2,3,yes,yes
321,4,3,yes,no
322,5,4,yes,no
323,6,5,yes,no
324,7,6,yes,no
325,8,7,no,no
326,1,0,yes,no
327,2,1,yes,no
328,2,3,yes,yes
329,4,3,yes,no
330,4,5,yes,yes
331,5,6,yes,yes
332,7,6,yes,no
333,8,7,yes,no
334,8,9,yes,yes
335,9,10,yes,yes
336,11,10,yes,no
337,11,12,yes,yes
338,12,13,yes,yes
339,14,13,yes,no
340,15,14,yes,no
341,16,15,yes,no
342,17,16,yes,no
343,18,17,yes,no
344,18,19,yes,yes
345,20,19,yes,no
346,21,20,yes,no
347,22,21,yes,no
348,23,22,no,no
349,0,1,yes,yes
350,2,1,yes,no
351,2,3,yes,yes
352,3,4,yes,yes
353,4,5,yes,yes
354,5,6,yes,yes
355,7,6,yes,no
356,7,8,yes,yes
357,9,8,yes,no
358,10,9,yes,no
359,10,11,yes,yes
360,12,11,yes,no
361,12,13,yes,yes
362,13,14,yes,yes
363,1,0,yes,no
364,1,2,yes,yes
365,2,3,yes,yes
366,3,4,yes,yes
367,5,4,yes,no
368,6,5,yes,no
369,7,6,yes,no
370,8,7,yes,no
371,9,8,yes,no
372,10,9,yes,no
373,10,11,yes,yes
374,12,11,yes,no
375,13,12,yes,no
376,13,14,yes,yes
377,1,0,yes,no
378,2,1,yes,no
379,3,2,yes,no
380,3,4,yes,yes
381,4,5,yes,yes
382,5,6,yes,yes
383,7,6,yes,no
384,8,7,yes,no
385,9,8,yes,no
386,10,9,yes,no
387,11,10,yes,no
388,12,11,yes,no
389,13,12,yes,no
390,14,13,yes,no
391,15,14,yes,no
392,16,15,yes,no
393,16,17,yes,yes
394,18,17,yes,no
395,18,19,yes,yes
396,19,20,yes,yes
397,1,0,yes,no
398,1,2,yes,yes
399,2,3,yes,yes
400,3,4,yes,yes
401,5,4,yes,no
402,5,6,yes,yes
403,7,6,yes,no
404,8,7,yes,no
405,8,9,yes,yes
406,10,9,yes,no
407,10,11,yes,yes
408,11,12,yes,yes
409,12,13,yes,yes
410,13,14,yes,yes
411,15,14,yes,no
412,16,15,yes,no
413,17,16,no,no
414,0,1,yes,yes
415,2,1,yes,no
416,3,2,yes,no
417,4,3,yes,no
418,4,5,yes,yes
419,6,5,yes,no
420,6,7,yes,yes
421,7,8,yes,yes
422,8,9,yes,yes
423,9,10,yes,yes
424,11,10,yes,no
425,12,11,yes,no
426,12,13,yes,yes
427,13,14,no,yes
428,15,14,no,no
429,15,16,yes,yes
430,17,16,yes,no
431,18,17,yes,no
432,18,19,yes,yes
433,20,19,yes,no
434,21,20,yes,no
435,22,21,yes,no
436,23,22,yes,no
437,1,0,yes,no
438,1,2,yes,yes
439,2,3,yes,yes
440,4,3,yes,no
441,4,5,yes,yes
442,6,5,yes,no
443,6,7,yes,yes
444,7,8,yes,yes
445,9,8,yes,no
446,9,10,yes,yes
447,11,10,yes,no
448,11,12,yes,yes
449,13,12,yes,no
450,13,14,yes,yes
451,0,1,yes,yes
452,1,2,yes,yes
453,2,3,yes,yes
454,4,3,yes,no
455,5,4,yes,no
456,5,6,yes,yes
457,7,6,yes,no
458,7,8,yes,yes
459,8,9,yes,yes
460,9,10,yes,yes
461,10,11,yes,yes
462,12,11,yes,no
463,13,12,yes,no
464,13,14,yes,yes
465,0,1,yes,yes
466,2,1,yes,no
467,3,2,yes,no
468,4,3,yes,no
469,5,4,yes,no
470,6,5,yes,no
471,6,7,yes,yes
472,8,7,yes,no
473,9,8,yes,no
474,10,9,yes,no
475,10,11,yes,yes
476,0,1,yes,yes
477,2,1,yes,no
478,2,3,yes,yes
479,4,3,yes,no
480,4,5,yes,yes
481,6,5,yes,no
482,7,6,yes,no
483,7,8,yes,yes
484,8,9,yes,yes
485,10,9,yes,no
486,11,10,yes,no
487,11,12,yes,yes
488,13,12,yes,no
489,13,14,yes,yes
490,14,15,yes,yes
491,15,16,yes,yes
492,17,16,yes,no
493,17,18,yes,yes
494,18,19,yes,yes
495,19,20,yes,yes
496,21,20,yes,no
497,21,22,yes,yes
498,22,23,yes,yes
499,24,23,yes,no
500,24,25,yes,yes
501,26,25,no,no
502,26,27,yes,yes
503,28,27,yes,no
504,28,29,yes,yes
505,29,30,yes,yes
506,31,30,yes,no
507,32,31,yes,no
508,32,33,yes,yes
509,34,33,yes,no
510,34,35,yes,yes
511,35,36,yes,yes
512,37,36,yes,no
513,37,38,yes,yes
514,1,0,yes,no
515,1,2,yes,yes
516,3,2,yes,no
517,4,3,yes,no
518,4,5,yes,yes
519,6,5,yes,no
520,6,7,yes,yes
521,8,7,yes,no
522,9,8,no,no
523,9,10,yes,yes
524,11,10,yes,no
525,12,11,yes,no
526,12,13,yes,yes
527,13,14,yes,yes
528,14,15,yes,yes
529,16,15,yes,no
530,17,16,yes,no
531,17,18,yes,yes
532,19,18,yes,no
533,19,20,yes,yes
534,1,0,yes,no
535,2,1,yes,no
536,3,2,yes,no
537,3,4,yes,yes
538,4,5,yes,yes
539,6,5,yes,no
540,7,6,yes,no
541,7,8,yes,yes
542,9,8,yes,no
543,10,9,yes,no
544,10,11,yes,yes
545,12,11,no,no
546,12,13,yes,yes
547,14,13,no,no
548,0,1,yes,yes
549,1,2,yes,yes
550,3,2,yes,no
551,3,4,yes,yes
552,5,4,yes,no
553,5,6,yes,yes
554,6,7,yes,yes
555,8,7,yes,no
556,9,8,yes,no
557,10,9,yes,no
558,10,11,yes,yes
559,0,1,yes,yes
560,2,1,yes,no
561,2,3,yes,yes
562,4,3,yes,no
563,4,5,yes,yes
564,5,6,yes,yes
565,6,7,yes,yes
566,8,7,yes,no
567,8,9,yes,yes
568,9,10,yes,yes
569,11,10,yes,no
570,12,11,yes,no
571,13,12,yes,no
572,13,14,yes,yes
573,1,0,yes,no
574,2,1,yes,no
575,2,3,yes,yes
576,3,4,yes,yes
577,4,5,yes,yes
578,5,6,yes,yes
579,7,6,yes,no
580,7,8,yes,yes
581,8,9,yes,yes
582,9,10,yes,yes
583,10,11,yes,yes
584,12,11,yes,no
585,13,12,yes,no
586,14,13,yes,no
587,14,15,yes,yes
588,16,15,yes,no
589,17,16,no,no
590,0,1,yes,yes
591,1,2,yes,yes
592,2,3,yes,yes
593,4,3,yes,no
594,5,4,yes,no
595,6,5,yes,no
596,7,6,yes,no
597,8,7,yes,no
598,8,9,yes,yes
599,9,10,yes,yes
600,10,11,yes,yes
601,11,12,yes,yes
602,13,12,yes,no
603,14,13,yes,no
604,14,15,yes,yes
605,15,16,yes,yes
606,16,17,yes,yes
607,18,17,yes,no
608,18,19,yes,yes
609,19,20,yes,yes
610,21,20,no,no
611,22,21,yes,no
612,22,23,yes,yes
613,1,0,yes,no
614,2,1,yes,no
615,2,3,yes,yes
616,4,3,no,no
617,5,4,yes,no
618,5,6,yes,yes
619,6,7,yes,yes
620,7,8,yes,yes
621,1,0,yes,no
622,1,2,yes,yes
623,3,2,yes,no
624,4,3,yes,no
625,4,5,yes,yes
626,6,5,yes,no
627,7,6,yes,no
628,8,7,yes,no
629,9,8,yes,no
630,10,9,yes,no
631,11,10,yes,no
632,11,12,yes,yes
633,13,12,yes,no
634,13,14,yes,yes
635,1,0,yes,no
636,2,1,yes,no
637,2,3,yes,yes
638,4,3,yes,no
639,4,5,yes,yes
640,5,6,yes,yes
641,7,6,yes,no
642,7,8,yes,yes
643,9,8,yes,no
644,10,9,yes,no
645,11,10,no,no
646,11,12,yes,yes
647,13,12,yes,no
648,13,14,yes,yes
649,0,1,yes,yes
650,1,2,yes,yes
651,3,2,yes,no
652,3,4,yes,yes
653,5,4,yes,no
654,6,5,yes,no
655,7,6,yes,no
656,8,7,yes,no
657,1,0,yes,no
658,2,1,yes,no
659,3,2,yes,no
660,4,3,yes,no
661,4,5,yes,yes
662,1,0,yes,no
663,2,1,yes,no
664,2,3,yes,yes
665,4,3,yes,no
666,4,5,yes,yes
667,6,5,yes,no
668,7,6,yes,no
669,8,7,yes,no
670,9,8,no,no
671,10,9,yes,no
672,11,10,yes,no
673,12,11,yes,no
674,13,12,yes,no
675,14,13,yes,no
676,14,15,yes,yes
677,16,15,yes,no
678,17,16,yes,no
679,17,18,yes,yes
680,18,19,yes,yes
681,19,20,yes,yes
682,21,20,yes,no
683,22,21,yes,no
684,22,23,yes,yes
685,0,1,yes,yes
686,2,1,yes,no
687,3,2,no,no
688,4,3,yes,no
689,5,4,yes,no
690,6,5,yes,no
691,6,7,yes,yes
692,8,7,yes,no
693,9,8,yes,no
694,10,9,yes,no
695,10,11,yes,yes
696,11,12,yes,yes
697,13,12,yes,no
698,13,14,yes,yes
699,15,14,yes,no
700,16,15,yes,no
701,17,16,yes,no
702,18,17,yes,no
703,19,18,yes,no
704,19,20,yes,yes
705,0,1,yes,yes
706,2,1,yes,no
707,3,2,yes,no
708,3,4,yes,yes
709,4,5,yes,yes
710,6,5,yes,no
711,6,7,yes,yes
712,8,7,yes,no
713,8,9,yes,yes
714,10,9,yes,no
715,10,11,yes,yes
716,11,12,yes,yes
717,12,13,yes,yes
718,14,13,yes,no
719,15,14,yes,no
720,16,15,yes,no
721,16,17,yes,yes
722,18,17,yes,no
723,19,18,yes,no
724,19,20,yes,yes
725,20,21,yes,yes
726,22,21,yes,no
727,23,22,yes,no
728,0,1,yes,yes
729,1,2,yes,yes
730,2,3,yes,yes
731,3,4,yes,yes
732,4,5,yes,yes
733,5,6,yes,yes
734,6,7,yes,yes
735,7,8,yes,yes
736,9,8,yes,no
737,10,9,yes,no
738,10,11,yes,yes
739,11,12,yes,yes
740,12,13,yes,yes
741,13,14,yes,yes
742,14,15,yes,yes
743,16,15,no,no
744,17,16,no,no
745,1,0,yes,no
746,2,1,yes,no
747,3,2,yes,no
748,4,3,yes,no
749,5,4,no,no
750,5,6,yes,yes
751,6,7,yes,yes
752,8,7,yes,no
753,8,9,yes,yes
754,9,10,yes,yes
755,11,10,yes,no
756,12,11,yes,no
757,13,12,yes,no
758,14,13,yes,no
759,15,14,yes,no
760,16,15,yes,no
761,16,17,yes,yes
762,17,18,yes,yes
763,19,18,yes,no
764,19,20,yes,yes
765,20,21,yes,yes
766,22,21,no,no
767,23,22,yes,no
768,1,0,yes,no
769,2,1,yes,no
770,2,3,yes,yes
771,4,3,yes,no
772,4,5,yes,yes
773,6,5,yes,no
774,7,6,yes,no
775,7,8,yes,yes
776,9,8,yes,no
777,9,10,yes,yes
778,11,10,yes,no
779,12,11,yes,no
780,13,12,yes,no
781,13,14,yes,yes
782,15,14,yes,no
783,15,16,yes,yes
784,17,16,no,no
785,17,18,yes,yes
786,18,19,yes,yes
787,19,20,yes,yes
788,20,21,yes,yes
789,22,21,yes,no
790,23,22,yes,no
791,24,23,yes,no
792,24,25,yes,yes
793,25,26,yes,yes
794,26,27,yes,yes
795,27,28,yes,yes
796,28,29,yes,yes
797,29,30,yes,yes
798,31,30,yes,no
799,32,31,yes,no
800,32,33,yes,yes
801,34,33,yes,no
802,35,34,yes,no
803,35,36,yes,yes
804,36,37,yes,yes
805,38,37,yes,no
806,1,0,yes,no
807,2,1,yes,no
808,3,2,yes,no
809,4,3,yes,no
810,4,5,yes,yes
811,6,5,yes,no
812,7,6,yes,no
813,8,7,no,no
814,8,9,yes,yes
815,9,10,yes,yes
816,10,11,yes,yes
817,1,0,yes,no
818,1,2,yes,yes
819,3,2,yes,no
820,3,4,yes,yes
821,5,4,yes,no
822,5,6,yes,yes
823,7,6,yes,no
824,8,7,yes,no
825,8,9,yes,yes
826,9,10,yes,yes
827,11,10,yes,no
828,12,11,no,no
829,12,13,yes,yes
830,13,14,no,yes
831,1,0,yes,no
832,1,2,yes,yes
833,2,3,yes,yes
834,3,4,yes,yes
835,4,5,yes,yes
836,6,5,yes,no
837,6,7,yes,yes
838,7,8,yes,yes
839,9,8,no,no
840,10,9,yes,no
841,10,11,yes,yes
842,0,1,yes,yes
843,1,2,yes,yes
844,2,3,yes,yes
845,4,3,yes,no
846,4,5,yes,yes
847,5,6,yes,yes
848,6,7,yes,yes
849,7,8,yes,yes
850,9,8,no,no
851,9,10,yes,yes
852,10,11,yes,yes
853,1,0,yes,no
854,2,1,yes,no
855,2,3,yes,yes
856,4,3,yes,no
857,5,4,yes,no
858,5,6,yes,yes
859,6,7,yes,yes
860,8,7,yes,no
861,9,8,yes,no
862,10,9,yes,no
863,10,11,yes,yes
864,12,11,yes,no
865,13,12,yes,no
866,14,13,yes,no
867,15,14,yes,no
868,16,15,yes,no
869,17,16,yes,no
870,17,18,yes,yes
871,19,18,yes,no
872,20,19,yes,no
873,21,20,yes,no
874,22,21,yes,no
875,23,22,yes,no
876,23,24,yes,yes
877,24,25,yes,yes
878,25,26,yes,yes
879,26,27,yes,yes
880,28,27,no,no
881,29,28,yes,no
882,30,29,yes,no
883,31,30,yes,no
884,32,31,yes,no
885,1,0,yes,no
886,1,2,yes,yes
887,2,3,yes,yes
888,4,3,yes,no
889,5,4,yes,no
890,6,5,yes,no
891,6,7,yes,yes
892,7,8,yes,yes
893,8,9,yes,yes
894,9,10,yes,yes
895,10,11,yes,yes
896,11,12,yes,yes
897,12,13,yes,yes
898,14,13,yes,no
899,15,14,yes,no
900,16,15,yes,no
901,17,16,yes,no
902,0,1,yes,yes
903,2,1,yes,no
904,2,3,yes,yes
905,3,4,yes,yes
906,5,4,yes,no
907,6,5,yes,no
908,7,6,yes,no
909,8,7,yes,no
910,8,9,yes,yes
911,10,9,yes,no
912,10,11,yes,yes
913,12,11,yes,no
914,12,13,yes,yes
915,13,14,yes,yes
916,14,15,yes,yes
917,16,15,no,no
918,16,17,yes,yes
919,18,17,yes,no
920,19,18,yes,no
921,19,20,yes,yes
922,1,0,yes,no
923,2,1,yes,no
924,2,3,yes,yes
925,3,4,yes,yes
926,4,5,yes,yes
927,6,5,yes,no
928,7,6,yes,no
929,7,8,yes,yes
930,9,8,yes,no
931,9,10,yes,yes
932,11,10,yes,no
933,12,11,yes,no
934,13,12,yes,no
935,14,13,yes,no
936,1,0,yes,no
937,1,2,yes,yes
938,3,2,yes,no
939,3,4,yes,yes
940,4,5,yes,yes
941,6,5,yes,no
942,6,7,yes,yes
943,8,7,yes,no
944,9,8,yes,no
945,10,9,yes,no
946,11,10,yes,no
947,11,12,yes,yes
948,12,13,yes,yes
949,14,13,yes,no
950,14,15,yes,yes
951,16,15,yes,no
952,16,17,yes,yes
953,17,18,yes,yes
954,18,19,yes,yes
955,19,20,yes,yes
956,21,20,yes,no
957,22,21,no,no
958,22,23,yes,yes
959,1,0,yes,no
960,1,2,yes,yes
961,2,3,yes,yes
962,3,4,yes,yes
963,4,5,yes,yes
964,5,6,yes,yes
965,6,7,yes,yes
966,7,8,yes,yes
967,9,8,yes,no
968,10,9,yes,no
969,10,11,yes,yes
970,11,12,yes,yes
971,12,13,yes,yes
972,14,13,yes,no
973,15,14,yes,no
974,16,15,yes,no
975,17,16,yes,no
976,17,18,yes,yes
977,18,19,yes,yes
978,19,20,yes,yes
979,21,20,yes,no
980,22,21,yes,no
981,22,23,yes,yes
982,1,0,yes,no
983,1,2,yes,yes
984,2,3,yes,yes
985,4,3,yes,no
986,5,4,yes,no
987,6,5,yes,no
988,7,6,yes,no
989,7,8,yes,yes
990,8,9,yes,yes
991,9,10,yes,yes
992,10,11,yes,yes
993,1,0,yes,no
994,2,1,yes,no
995,3,2,yes,no
996,4,3,yes,no
997,4,5,yes,yes
998,6,5,yes,no
999,6,7,yes,yes
1000,8,7,yes,no
1001,9,8,no,no
1002,10,9,yes,no
1003,11,10,yes,no
1004,11,12,yes,yes
1005,12,13,yes,yes
1006,14,13,yes,no
1007,15,14,yes,no
1008,15,16,yes,yes
1009,16,17,yes,yes
1010,0,1,yes,yes
1011,2,1,yes,no
1012,3,2,no,no
1013,4,3,yes,no
1014,5,4,yes,no
1015,6,5,yes,no
1016,6,7,yes,yes
1017,8,7,yes,no
1018,9,8,yes,no
1019,9,10,yes,yes
1020,10,11,yes,yes
1021,12,11,yes,no
1022,13,12,yes,no
1023,13,14,yes,yes
1024,0,1,yes,yes
1025,1,2,yes,yes
1026,2,3,yes,yes
1027,3,4,yes,yes
1028,5,4,yes,no
1029,6,5,no,no
1030,6,7,yes,yes
1031,8,7,yes,no
1032,8,9,yes,yes
1033,9,10,yes,yes
1034,10,11,yes,yes
1035,11,12,yes,yes
1036,13,12,yes,no
1037,13,14,yes,yes
1038,15,14,yes,no
1039,16,15,yes,no
1040,16,17,yes,yes
1041,18,17,yes,no
1042,19,18,yes,no
1043,19,20,yes,yes
1044,21,20,yes,no
1045,22,21,no,no
1046,22,23,yes,yes
1047,1,0,yes,no
1048,1,2,yes,yes
1049,3,2,yes,no
1050,3,4,yes,yes
1051,5,4,yes,no
1052,5,6,yes,yes
1053,6,7,yes,yes
1054,7,8,yes,yes
1055,8,9,yes,yes
1056,9,10,yes,yes
1057,11,10,yes,no
1058,12,11,yes,no
1059,12,13,yes,yes
1060,13,14,yes,yes
1061,14,15,yes,yes
1062,15,16,yes,yes
1063,16,17,yes,yes
1064,17,18,yes,yes
1065,18,19,yes,yes
1066,20,19,yes,no
1067,21,20,yes,no
1068,22,21,yes,no
1069,23,22,yes,no
1070,0,1,yes,yes
1071,2,1,yes,no
1072,3,2,yes,no
1073,4,3,yes,no
1074,5,4,yes,no
1075,5,6,yes,yes
1076,6,7,yes,yes
1077,7,8,yes,yes
1078,8,9,yes,yes
1079,9,10,yes,yes
1080,10,11,yes,yes
1081,11,12,yes,yes
1082,12,13,yes,yes
1083,14,13,yes,no
1084,15,14,yes,no
1085,16,15,yes,no
1086,17,16,yes,no
1087,18,17,yes,no
1088,18,19,yes,yes
1089,20,19,yes,no
1090,21,20,yes,no
1091,22,21,yes,no
1092,22,23,yes,yes
1093,0,1,yes,yes
1094,2,1,yes,no
1095,3,2,yes,no
1096,3,4,yes,yes
1097,5,4,yes,no
1098,6,5,yes,no
1099,7,6,yes,no
1100,7,8,yes,yes
1101,8,9,yes,yes
1102,9,10,yes,yes
1103,11,10,yes,no
1104,12,11,yes,no
1105,13,12,yes,no
1106,14,13,yes,no
1107,14,15,yes,yes
1108,16,15,yes,no
1109,17,16,yes,no
1110,18,17,yes,no
1111,18,19,yes,yes
1112,20,19,yes,no
1113,1,0,yes,no
1114,2,1,yes,no
1115,3,2,yes,no
1116,3,4,yes,yes
1117,5,4,yes,no
1118,5,6,yes,yes
1119,7,6,no,no
1120,8,7,yes,no
1121,9,8,yes,no
1122,9,10,yes,yes
1123,10,11,yes,yes
1124,11,12,yes,yes
1125,13,12,yes,no
1126,14,13,yes,no
1127,1,0,no,no
1128,1,2,yes,yes
1129,3,2,yes,no
1130,4,3,yes,no
1131,5,4,yes,no
1132,5,6,yes,yes
1133,7,6,yes,no
1134,7,8,yes,yes
1135,8,9,yes,yes
1136,10,9,yes,no
1137,10,11,yes,yes
1138,12,11,yes,no
1139,12,13,yes,yes
1140,13,14,yes,yes
1141,1,0,yes,no
1142,2,1,yes,no
1143,3,2,yes,no
1144,3,4,yes,yes
1145,4,5,yes,yes
1146,6,5,yes,no
1147,7,6,yes,no
1148,8,7,yes,no
1149,9,8,yes,no
1150,10,9,yes,no
1151,11,10,yes,no
1152,11,12,yes,yes
1153,12,13,yes,yes
1154,14,13,yes,no
1155,14,15,yes,yes
1156,16,15,yes,no
1157,17,16,yes,no
1158,18,17,yes,no
1159,19,18,yes,no
1160,20,19,no,no
1161,1,0,yes,no
1162,2,1,yes,no
1163,3,2,yes,no
1164,3,4,yes,yes
1165,5,4,yes,no
1166,5,6,yes,yes
1167,6,7,yes,yes
1168,7,8,yes,yes
1169,8,9,yes,yes
1170,9,10,yes,yes
1171,11,10,yes,no
1172,12,11,yes,no
1173,12,13,yes,yes
1174,13,14,yes,yes
1175,1,0,yes,no
1176,2,1,yes,no
1177,3,2,yes,no
1178,4,3,no,no
1179,5,4,yes,no
1180,5,6,yes,yes
1181,6,7,yes,yes
1182,7,8,yes,yes
1183,9,8,yes,no
1184,10,9,no,no
1185,11,10,yes,no
1186,12,11,yes,no
1187,13,12,yes,no
1188,13,14,yes,yes
1189,15,14,yes,no
1190,15,16,yes,yes
1191,16,17,yes,yes
1192,18,17,yes,no
1193,19,18,yes,no
1194,19,20,yes,yes
1195,21,20,yes,no
1196,21,22,yes,yes
1197,23,22,yes,no
1198,23,24,yes,yes
1199,25,24,yes,no
1200,26,25,yes,no
1201,26,27,yes,yes
1202,27,28,yes,yes
1203,29,28,yes,no
