,step1,step2,prediction,gold
136,6,11,yes,no
137,7,12,yes,no
138,13,8,yes,yes
139,9,14,yes,no
140,10,15,yes,no
141,11,16,yes,no
142,12,17,yes,no
143,0,5,yes,no
144,1,6,yes,no
145,2,7,yes,no
146,8,3,yes,yes
147,9,4,yes,yes
148,10,5,yes,yes
149,6,11,yes,no
150,12,7,no,yes
151,13,8,no,yes
152,14,9,no,yes
153,15,10,yes,yes
154,16,11,yes,yes
155,12,17,yes,no
156,0,5,yes,no
157,6,1,yes,yes
158,7,2,no,yes
159,8,3,yes,yes
160,9,4,yes,yes
161,10,5,yes,yes
162,6,11,yes,no
163,12,7,yes,yes
164,13,8,yes,yes
165,9,14,yes,no
166,15,10,yes,yes
167,16,11,yes,yes
168,12,17,yes,no
169,5,0,yes,yes
170,6,1,yes,yes
171,2,7,yes,no
172,8,3,yes,yes
173,4,9,yes,no
174,10,5,yes,yes
175,11,6,yes,yes
176,7,12,yes,no
177,8,13,yes,no
178,14,9,yes,yes
179,15,10,yes,yes
180,16,11,yes,yes
181,17,12,yes,yes
182,18,13,yes,yes
183,14,19,yes,no
184,20,15,yes,yes
185,21,16,yes,yes
186,17,22,yes,no
187,23,18,yes,yes
188,5,0,yes,yes
189,6,1,yes,yes
190,2,7,yes,no
191,3,8,yes,no
192,9,4,yes,yes
193,10,5,yes,yes
194,6,11,yes,no
195,12,7,yes,yes
196,8,13,yes,no
197,9,14,yes,no
198,15,10,yes,yes
199,16,11,yes,yes
200,12,17,yes,no
201,0,5,yes,no
202,6,1,yes,yes
203,7,2,yes,yes
204,8,3,yes,yes
205,9,4,yes,yes
206,10,5,yes,yes
207,11,6,yes,yes
208,0,5,yes,no
209,6,1,yes,yes
210,2,7,yes,no
211,3,8,yes,no
212,9,4,yes,yes
213,10,5,yes,yes
214,11,6,yes,yes
215,12,7,yes,yes
216,13,8,yes,yes
217,9,14,yes,no
218,10,15,no,no
219,11,16,no,no
220,17,12,no,yes
221,5,0,yes,yes
222,1,6,yes,no
223,2,7,yes,no
224,8,3,yes,yes
225,4,9,yes,no
226,5,10,yes,no
227,6,11,yes,no
228,7,12,yes,no
229,13,8,no,yes
230,14,9,yes,yes
231,15,10,yes,yes
232,11,16,no,no
233,17,12,no,yes
234,18,13,yes,yes
235,19,14,yes,yes
236,15,20,yes,no
237,21,16,yes,yes
238,17,22,yes,no
239,18,23,yes,no
240,24,19,yes,yes
241,20,25,yes,no
242,21,26,yes,no
243,5,0,yes,yes
244,6,1,yes,yes
245,2,7,yes,no
246,3,8,yes,no
247,4,9,yes,no
248,5,10,yes,no
249,6,11,yes,no
250,12,7,yes,yes
251,13,8,yes,yes
252,9,14,yes,no
253,15,10,yes,yes
254,11,16,yes,no
255,17,12,yes,yes
256,13,18,no,no
257,19,14,no,yes
258,20,15,no,yes
259,16,21,yes,no
260,17,22,yes,no
261,23,18,yes,yes
262,0,5,yes,no
263,1,6,yes,no
264,7,2,yes,yes
265,8,3,yes,yes
266,9,4,no,yes
267,5,10,yes,no
268,6,11,yes,no
269,12,7,yes,yes
270,8,13,yes,no
271,14,9,yes,yes
272,5,0,yes,yes
273,6,1,yes,yes
274,2,7,yes,no
275,8,3,yes,yes
276,4,9,yes,no
277,5,10,no,no
278,11,6,yes,yes
279,12,7,yes,yes
280,13,8,yes,yes
281,9,14,yes,no
282,10,15,yes,no
283,11,16,yes,no
284,12,17,yes,no
285,13,18,yes,no
286,14,19,yes,no
287,15,20,yes,no
288,21,16,no,yes
289,17,22,yes,no
290,23,18,yes,yes
291,24,19,no,yes
292,25,20,yes,yes
293,26,21,no,yes
294,27,22,yes,yes
295,28,23,no,yes
296,29,24,yes,yes
297,25,30,no,no
298,31,26,yes,yes
299,27,32,yes,no
300,5,0,no,yes
301,6,1,yes,yes
302,2,7,no,no
303,3,8,no,no
304,4,9,yes,no
305,10,5,yes,yes
306,6,11,yes,no
307,12,7,no,yes
308,13,8,no,yes
309,14,9,yes,yes
310,15,10,yes,yes
311,11,16,yes,no
312,17,12,yes,yes
313,13,18,no,no
314,14,19,yes,no
315,20,15,yes,yes
316,16,21,yes,no
317,17,22,yes,no
318,23,18,no,yes
319,24,19,no,yes
320,20,25,yes,no
321,26,21,yes,yes
322,5,0,yes,yes
323,6,1,yes,yes
324,7,2,yes,yes
325,8,3,yes,yes
326,5,0,yes,yes
327,6,1,yes,yes
328,2,7,yes,no
329,8,3,yes,yes
330,4,9,yes,no
331,5,10,yes,no
332,11,6,yes,yes
333,12,7,yes,yes
334,8,13,no,no
335,9,14,yes,no
336,15,10,yes,yes
337,11,16,yes,no
338,12,17,yes,no
339,5,0,yes,yes
340,6,1,no,yes
341,7,2,yes,yes
342,8,3,yes,yes
343,9,4,yes,yes
344,5,10,no,no
345,11,6,yes,yes
346,12,7,yes,yes
347,13,8,no,yes
348,14,9,yes,yes
349,10,15,no,no
350,16,11,no,yes
351,12,17,yes,no
352,13,18,yes,no
353,14,19,yes,no
354,15,20,yes,no
355,21,16,no,yes
356,17,22,yes,no
357,23,18,no,yes
358,24,19,yes,yes
359,20,25,yes,no
360,26,21,no,yes
361,22,27,no,no
362,23,28,no,no
363,29,24,yes,yes
364,25,30,yes,no
365,26,31,yes,no
366,27,32,yes,no
367,33,28,yes,yes
368,34,29,yes,yes
369,35,30,no,yes
370,36,31,yes,yes
371,37,32,yes,yes
372,38,33,yes,yes
373,0,5,yes,no
374,6,1,no,yes
375,7,2,yes,yes
376,3,8,yes,no
377,9,4,yes,yes
378,10,5,yes,yes
379,11,6,yes,yes
380,7,12,yes,no
381,8,13,no,no
382,9,14,no,no
383,15,10,yes,yes
384,16,11,yes,yes
385,17,12,no,yes
386,18,13,yes,yes
387,19,14,no,yes
388,20,15,yes,yes
389,21,16,yes,yes
390,22,17,yes,yes
391,23,18,no,yes
392,5,0,yes,yes
393,1,6,yes,no
394,7,2,yes,yes
395,3,8,yes,no
396,4,9,no,no
397,10,5,yes,yes
398,6,11,yes,no
399,7,12,yes,no
400,8,13,yes,no
401,14,9,no,yes
402,0,5,yes,no
403,6,1,yes,yes
404,7,2,yes,yes
405,3,8,yes,no
406,9,4,yes,yes
407,5,10,yes,no
408,6,11,yes,no
409,7,12,yes,no
410,8,13,yes,no
411,14,9,no,yes
412,15,10,yes,yes
413,16,11,yes,yes
414,12,17,yes,no
415,18,13,yes,yes
416,19,14,yes,yes
417,20,15,yes,yes
418,16,21,yes,no
419,22,17,yes,yes
420,18,23,yes,no
421,19,24,yes,no
422,20,25,yes,no
423,21,26,yes,no
424,27,22,yes,yes
425,28,23,yes,yes
426,24,29,yes,no
427,25,30,yes,no
428,31,26,yes,yes
429,27,32,yes,no
430,33,28,yes,yes
431,34,29,yes,yes
432,30,35,yes,no
433,5,0,yes,yes
434,6,1,yes,yes
435,7,2,yes,yes
436,8,3,yes,yes
437,9,4,no,yes
438,5,10,yes,no
439,6,11,no,no
440,12,7,yes,yes
441,8,13,yes,no
442,14,9,yes,yes
443,10,15,yes,no
444,11,16,yes,no
445,17,12,yes,yes
446,13,18,yes,no
447,19,14,no,yes
448,15,20,yes,no
449,5,0,yes,yes
450,1,6,yes,no
451,2,7,yes,no
452,3,8,yes,no
453,4,9,yes,no
454,10,5,no,yes
455,11,6,yes,yes
456,0,5,yes,no
457,6,1,yes,yes
458,2,7,yes,no
459,3,8,yes,no
460,4,9,yes,no
461,5,10,yes,no
462,11,6,no,yes
463,12,7,yes,yes
464,8,13,yes,no
465,9,14,yes,no
466,15,10,yes,yes
467,16,11,yes,yes
468,17,12,yes,yes
469,18,13,yes,yes
470,19,14,yes,yes
471,15,20,yes,no
472,21,16,yes,yes
473,22,17,yes,yes
474,23,18,yes,yes
475,19,24,no,no
476,20,25,yes,no
477,26,21,yes,yes
478,22,27,yes,no
479,28,23,yes,yes
480,24,29,yes,no
481,30,25,no,yes
482,31,26,yes,yes
483,27,32,yes,no
484,0,5,no,no
485,6,1,no,yes
486,7,2,yes,yes
487,3,8,yes,no
488,9,4,yes,yes
489,5,10,no,no
490,6,11,no,no
491,7,12,yes,no
492,13,8,yes,yes
493,9,14,yes,no
494,10,15,yes,no
495,11,16,yes,no
496,17,12,yes,yes
497,13,18,yes,no
498,14,19,no,no
499,20,15,yes,yes
500,16,21,yes,no
501,22,17,no,yes
502,18,23,yes,no
503,24,19,yes,yes
504,20,25,no,no
505,21,26,yes,no
506,27,22,yes,yes
507,28,23,yes,yes
508,24,29,yes,no
509,30,25,yes,yes
510,26,31,yes,no
511,27,32,yes,no
