,step1,step2,prediction,gold
274,2,7,no,no
275,8,3,no,yes
276,4,9,no,no
277,5,10,no,no
278,11,6,no,yes
279,12,7,yes,yes
280,13,8,no,yes
281,9,14,no,no
282,10,15,no,no
283,11,16,no,no
284,12,17,no,no
285,13,18,no,no
286,14,19,no,no
287,15,20,no,no
288,21,16,no,yes
289,17,22,no,no
290,23,18,no,yes
291,24,19,no,yes
292,25,20,no,yes
293,26,21,no,yes
294,27,22,no,yes
295,28,23,no,yes
296,29,24,no,yes
297,25,30,no,no
298,31,26,no,yes
299,27,32,no,no
300,5,0,no,yes
301,6,1,no,yes
302,2,7,no,no
303,3,8,no,no
304,4,9,no,no
305,10,5,no,yes
306,6,11,no,no
307,12,7,no,yes
308,13,8,no,yes
309,14,9,yes,yes
310,15,10,no,yes
311,11,16,no,no
312,17,12,yes,yes
313,13,18,no,no
314,14,19,no,no
315,20,15,no,yes
316,16,21,no,no
317,17,22,no,no
318,23,18,no,yes
319,24,19,no,yes
320,20,25,no,no
321,26,21,no,yes
322,5,0,no,yes
323,6,1,no,yes
324,7,2,no,yes
325,8,3,no,yes
326,5,0,no,yes
327,6,1,no,yes
328,2,7,no,no
329,8,3,no,yes
330,4,9,no,no
331,5,10,no,no
332,11,6,no,yes
333,12,7,no,yes
334,8,13,no,no
335,9,14,no,no
336,15,10,no,yes
337,11,16,no,no
338,12,17,no,no
339,5,0,no,yes
340,6,1,no,yes
341,7,2,no,yes
342,8,3,no,yes
343,9,4,no,yes
344,5,10,no,no
345,11,6,no,yes
346,12,7,no,yes
347,13,8,yes,yes
348,14,9,no,yes
349,10,15,no,no
350,16,11,no,yes
351,12,17,no,no
352,13,18,no,no
353,14,19,no,no
354,15,20,no,no
355,21,16,yes,yes
356,17,22,no,no
357,23,18,no,yes
358,24,19,no,yes
359,20,25,no,no
360,26,21,no,yes
361,22,27,no,no
362,23,28,no,no
363,29,24,yes,yes
364,25,30,no,no
365,26,31,no,no
366,27,32,no,no
367,33,28,no,yes
368,34,29,no,yes
369,35,30,no,yes
370,36,31,no,yes
371,37,32,no,yes
372,38,33,no,yes
373,0,5,no,no
374,6,1,no,yes
375,7,2,no,yes
376,3,8,no,no
377,9,4,no,yes
378,10,5,no,yes
379,11,6,no,yes
380,7,12,no,no
381,8,13,no,no
382,9,14,no,no
383,15,10,no,yes
384,16,11,no,yes
385,17,12,no,yes
386,18,13,no,yes
387,19,14,no,yes
388,20,15,no,yes
389,21,16,no,yes
390,22,17,no,yes
391,23,18,no,yes
392,5,0,yes,yes
393,1,6,no,no
394,7,2,no,yes
395,3,8,no,no
396,4,9,no,no
397,10,5,no,yes
398,6,11,no,no
399,7,12,no,no
400,8,13,no,no
401,14,9,no,yes
402,0,5,no,no
403,6,1,no,yes
404,7,2,no,yes
405,3,8,no,no
406,9,4,no,yes
407,5,10,no,no
408,6,11,no,no
409,7,12,no,no
410,8,13,no,no
411,14,9,no,yes
412,15,10,no,yes
413,16,11,no,yes
414,12,17,no,no
415,18,13,no,yes
416,19,14,no,yes
417,20,15,no,yes
418,16,21,no,no
419,22,17,no,yes
420,18,23,no,no
421,19,24,no,no
422,20,25,no,no
423,21,26,no,no
424,27,22,no,yes
425,28,23,no,yes
426,24,29,no,no
427,25,30,no,no
428,31,26,no,yes
429,27,32,no,no
430,33,28,no,yes
431,34,29,no,yes
432,30,35,no,no
433,5,0,no,yes
434,6,1,no,yes
435,7,2,no,yes
436,8,3,no,yes
437,9,4,no,yes
438,5,10,no,no
439,6,11,no,no
440,12,7,no,yes
441,8,13,no,no
442,14,9,no,yes
443,10,15,no,no
444,11,16,no,no
445,17,12,no,yes
446,13,18,no,no
447,19,14,no,yes
448,15,20,no,no
449,5,0,no,yes
450,1,6,no,no
451,2,7,no,no
452,3,8,no,no
453,4,9,no,no
454,10,5,no,yes
455,11,6,no,yes
456,0,5,no,no
457,6,1,no,yes
458,2,7,no,no
459,3,8,no,no
460,4,9,no,no
461,5,10,no,no
462,11,6,no,yes
463,12,7,no,yes
464,8,13,no,no
465,9,14,no,no
466,15,10,no,yes
467,16,11,no,yes
468,17,12,no,yes
469,18,13,no,yes
470,19,14,no,yes
471,15,20,no,no
472,21,16,no,yes
473,22,17,no,yes
474,23,18,no,yes
475,19,24,no,no
476,20,25,no,no
477,26,21,no,yes
478,22,27,no,no
479,28,23,no,yes
480,24,29,no,no
481,30,25,no,yes
482,31,26,yes,yes
483,27,32,no,no
484,0,5,no,no
485,6,1,no,yes
486,7,2,no,yes
487,3,8,no,no
488,9,4,no,yes
489,5,10,no,no
490,6,11,no,no
491,7,12,no,no
492,13,8,no,yes
493,9,14,no,no
494,10,15,no,no
495,11,16,no,no
496,17,12,no,yes
497,13,18,no,no
498,14,19,no,no
499,20,15,no,yes
500,16,21,no,no
501,22,17,no,yes
502,18,23,no,no
503,24,19,no,yes
504,20,25,no,no
505,21,26,no,no
506,27,22,no,yes
507,28,23,no,yes
508,24,29,no,no
509,30,25,no,yes
510,26,31,no,no
511,27,32,no,no
