,step1,step2,prediction,gold
221,15,13,no,yes
222,14,16,no,no
223,15,17,no,no
224,18,16,no,yes
225,17,19,no,no
226,18,20,no,no
227,19,21,no,no
228,20,22,no,no
229,23,21,no,yes
230,2,0,no,yes
231,3,1,no,yes
232,2,4,no,no
233,5,3,no,yes
234,6,4,no,yes
235,7,5,no,yes
236,6,8,no,no
237,9,7,no,yes
238,8,10,no,no
239,9,11,no,no
240,12,10,no,yes
241,11,13,no,no
242,12,14,no,no
243,15,13,no,yes
244,16,14,no,yes
245,15,17,no,no
246,0,2,no,no
247,1,3,no,no
248,2,4,no,no
249,3,5,no,no
250,6,4,no,yes
251,7,5,no,yes
252,6,8,no,no
253,9,7,no,yes
254,8,10,no,no
255,11,9,no,yes
256,0,2,no,no
257,3,1,no,yes
258,4,2,no,yes
259,3,5,no,no
260,4,6,no,no
261,7,5,no,yes
262,6,8,no,no
263,7,9,no,no
264,10,8,no,yes
265,11,9,no,yes
266,12,10,no,yes
267,11,13,no,no
268,12,14,no,no
269,15,13,no,yes
270,14,16,no,no
271,17,15,no,yes
272,2,0,no,yes
273,3,1,no,yes
274,2,4,no,no
275,5,3,no,yes
276,4,6,no,no
277,5,7,no,no
278,8,6,yes,yes
279,9,7,no,yes
280,10,8,no,yes
281,9,11,no,no
282,10,12,no,no
283,11,13,no,no
284,12,14,no,no
285,13,15,no,no
286,14,16,no,no
287,15,17,no,no
288,18,16,no,yes
289,17,19,no,no
290,20,18,no,yes
291,21,19,no,yes
292,22,20,no,yes
293,23,21,no,yes
294,24,22,no,yes
295,25,23,no,yes
296,26,24,no,yes
297,0,2,no,no
298,3,1,no,yes
299,2,4,no,no
300,5,3,no,yes
301,6,4,no,yes
302,5,7,no,no
303,6,8,no,no
304,7,9,no,no
305,10,8,no,yes
306,9,11,no,no
307,12,10,no,yes
308,13,11,no,yes
309,14,12,no,yes
310,15,13,no,yes
311,14,16,no,no
312,17,15,no,yes
313,16,18,no,no
314,17,19,no,no
315,20,18,no,yes
316,19,21,no,no
317,20,22,no,no
318,23,21,no,yes
319,2,0,no,yes
320,1,3,no,no
321,4,2,no,yes
322,5,3,no,yes
323,6,4,no,yes
324,7,5,no,yes
325,8,6,no,yes
326,9,7,no,yes
327,10,8,no,yes
328,9,11,no,no
329,12,10,yes,yes
330,11,13,no,no
331,12,14,no,no
332,2,0,no,yes
333,3,1,no,yes
334,2,4,no,no
335,3,5,no,no
336,6,4,no,yes
337,5,7,no,no
338,6,8,no,no
339,9,7,no,yes
340,10,8,no,yes
341,11,9,no,yes
342,12,10,no,yes
343,13,11,no,yes
344,12,14,no,no
345,15,13,no,yes
346,16,14,no,yes
347,17,15,yes,yes
348,18,16,no,yes
349,17,19,no,no
350,20,18,no,yes
351,19,21,no,no
352,20,22,no,no
353,21,23,no,no
354,22,24,no,no
355,25,23,no,yes
356,24,26,no,no
357,27,25,no,yes
358,28,26,no,yes
359,27,29,no,no
360,30,28,no,yes
361,29,31,no,no
362,30,32,no,no
363,2,0,no,yes
364,1,3,no,no
365,2,4,no,no
366,3,5,no,no
367,6,4,no,yes
368,7,5,no,yes
369,8,6,no,yes
370,9,7,no,yes
371,10,8,no,yes
372,11,9,no,yes
373,10,12,no,no
374,13,11,no,yes
375,14,12,yes,yes
376,13,15,no,no
377,16,14,no,yes
378,17,15,no,yes
379,18,16,no,yes
380,17,19,no,no
381,18,20,no,no
382,19,21,no,no
383,22,20,no,yes
384,23,21,no,yes
385,24,22,no,yes
386,25,23,yes,yes
387,26,24,yes,yes
388,2,0,no,yes
389,3,1,no,yes
390,4,2,no,yes
391,5,3,no,yes
392,6,4,no,yes
393,5,7,no,no
394,8,6,no,yes
395,0,2,no,no
396,1,3,no,no
397,4,2,no,yes
398,3,5,no,no
399,4,6,no,no
400,5,7,no,no
401,8,6,no,yes
402,7,9,no,no
403,10,8,no,yes
404,11,9,no,yes
405,10,12,no,no
406,13,11,no,yes
407,12,14,no,no
408,13,15,no,no
409,14,16,no,no
410,15,17,no,no
411,2,0,no,yes
412,3,1,no,yes
413,4,2,no,yes
414,3,5,no,no
415,6,4,no,yes
416,7,5,no,yes
417,8,6,no,yes
418,7,9,no,no
419,10,8,no,yes
420,9,11,no,no
421,10,12,no,no
422,11,13,no,no
423,12,14,no,no
424,15,13,no,yes
425,16,14,no,yes
426,15,17,no,no
427,16,18,no,no
428,19,17,no,yes
429,18,20,no,no
430,21,19,no,yes
431,22,20,no,yes
432,21,23,no,no
433,24,22,no,yes
434,25,23,no,yes
435,26,24,yes,yes
436,27,25,no,yes
437,28,26,no,yes
438,27,29,no,no
439,28,30,no,no
440,31,29,no,yes
441,30,32,no,no
442,33,31,no,yes
443,32,34,no,no
444,33,35,no,no
445,36,34,no,yes
446,35,37,no,no
447,38,36,no,yes
448,0,2,no,no
449,3,1,no,yes
450,2,4,no,no
451,3,5,no,no
452,4,6,no,no
453,5,7,no,no
454,8,6,no,yes
455,9,7,no,yes
456,8,10,no,no
457,11,9,no,yes
458,10,12,no,no
459,11,13,no,no
460,12,14,no,no
461,13,15,no,no
462,16,14,no,yes
463,17,15,no,yes
464,16,18,no,no
465,17,19,no,no
466,20,18,no,yes
467,21,19,no,yes
468,22,20,no,yes
469,23,21,no,yes
470,2,0,no,yes
471,1,3,no,no
472,4,2,no,yes
473,5,3,no,yes
474,6,4,no,yes
475,5,7,no,no
476,6,8,no,no
477,9,7,no,yes
478,8,10,no,no
479,11,9,no,yes
480,10,12,no,no
481,13,11,no,yes
482,14,12,no,yes
483,0,2,no,no
484,1,3,no,no
485,4,2,no,yes
486,5,3,no,yes
487,4,6,no,no
488,7,5,no,yes
489,6,8,no,no
490,7,9,no,no
491,8,10,no,no
492,11,9,no,yes
493,10,12,no,no
494,11,13,no,no
495,12,14,no,no
496,15,13,no,yes
497,14,16,no,no
498,15,17,no,no
499,18,16,no,yes
500,17,19,no,no
501,20,18,no,yes
502,19,21,no,no
503,22,20,no,yes
504,21,23,no,no
505,22,24,no,no
506,25,23,no,yes
507,26,24,no,yes
508,25,27,no,no
509,28,26,no,yes
510,27,29,no,no
511,28,30,no,no
512,31,29,no,yes
513,30,32,no,no
514,33,31,yes,yes
515,32,34,no,no
516,35,33,no,yes
517,2,0,no,yes
518,1,3,no,no
519,4,2,no,yes
520,3,5,no,no
521,6,4,no,yes
522,7,5,no,yes
523,6,8,no,no
524,9,7,no,yes
525,10,8,no,yes
526,9,11,no,no
527,10,12,no,no
528,11,13,no,no
529,14,12,no,yes
530,15,13,no,yes
531,14,16,no,no
532,17,15,no,yes
533,16,18,no,no
534,19,17,no,yes
535,20,18,no,yes
536,2,0,no,yes
537,1,3,no,no
538,2,4,no,no
539,5,3,no,yes
540,6,4,no,yes
541,5,7,no,no
542,8,6,no,yes
543,9,7,no,yes
544,8,10,no,no
545,11,9,no,yes
546,0,2,no,no
547,3,1,no,yes
548,2,4,no,no
549,3,5,no,no
550,6,4,no,yes
551,5,7,no,no
552,8,6,no,yes
553,7,9,no,no
554,8,10,no,no
555,11,9,no,yes
556,12,10,no,yes
557,13,11,no,yes
558,12,14,no,no
559,13,15,no,no
560,16,14,no,yes
561,15,17,no,no
562,18,16,no,yes
563,17,19,no,no
564,18,20,no,no
565,19,21,no,no
566,22,20,no,yes
567,21,23,no,no
568,22,24,no,no
569,25,23,no,yes
570,26,24,no,yes
571,27,25,no,yes
572,26,28,no,no
573,29,27,no,yes
574,30,28,no,yes
575,29,31,no,no
576,30,32,no,no
577,0,2,no,no
578,1,3,no,no
579,4,2,no,yes
580,3,5,no,no
581,4,6,no,no
582,5,7,no,no
583,6,8,no,no
584,9,7,no,yes
585,10,8,no,yes
586,11,9,no,yes
587,10,12,no,no
588,13,11,no,yes
589,14,12,no,yes
590,13,15,no,no
591,14,16,no,no
592,15,17,no,no
593,18,16,no,yes
594,19,17,no,yes
595,20,18,no,yes
596,21,19,no,yes
597,22,20,no,yes
598,21,23,no,no
599,22,24,no,no
600,23,25,no,no
601,24,26,no,no
602,27,25,no,yes
603,28,26,no,yes
604,27,29,no,no
605,28,30,no,no
606,29,31,no,no
607,32,30,no,yes
